"","Cont-1.tabular","Cont-2.tabular","Cont-3.tabular","PER-2h-A.tabular","PER-2h-B.tabular","PER-2h-C.tabular","PER-6h-A.tabular","PER-6h-B.tabular","PER-6h-C.tabular","PER-24h-A.tabular","PER-24h-B.tabular","PER-24h-C.tabular","cluster"
"dv.13321",-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,0.425366450368731,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,-0.0386696773062485,6
"dv.133369",0.629399089378816,-0.162444411519527,-0.162444411519527,-0.162444411519527,-0.162444411519527,-0.162444411519527,0.545642437234433,-0.162444411519527,-0.162444411519527,-0.162444411519527,0.286958177062495,-0.162444411519527,6
"dv.133383",0.879123514006412,0.0901887109269577,0.590993118749147,0.110963451919861,-0.0590695339447223,-0.38967852686301,-0.281754346520424,-0.431133647885089,-0.617698987136587,0.072912437757445,0.195031211652756,-0.159877402662756,6
"dv.13364",-0.0616770519325422,0.678447571257963,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,-0.0616770519325422,6
"dv.134345",-0.0966701785692603,1.02155580269036,0.0375049474220299,-0.133128965661168,-0.270551301274252,-1.10111405784474,-0.650030812136293,0.375837718514157,0.153174793346414,0.063499271888058,0.391849514938425,0.208073266686272,6
"dv.134600",-0.0544564955184059,-0.0544564955184059,-0.0544564955184059,-0.0544564955184059,-0.0544564955184059,0.599021450702466,-0.0544564955184059,-0.0544564955184059,-0.0544564955184059,-0.0544564955184059,-0.0544564955184059,-0.0544564955184059,6
"dv.13509",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.135696",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.135715",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.135897",0.635126006615039,-0.156717494283304,-0.156717494283304,-0.156717494283304,-0.156717494283304,-0.156717494283304,0.34646194918669,-0.156717494283304,0.428869492748008,-0.156717494283304,-0.156717494283304,-0.156717494283304,6
"dv.136460",0.404820675169663,-0.70179549711851,-0.70179549711851,-0.70179549711851,0.570185098221945,0.646693879585216,0.00629135163544969,0.0808877544253992,-0.116208510087198,-0.0695479028750614,0.0704895444684976,0.511774600811616,6
"dv.13673",-0.185726069165145,-0.185726069165145,-0.185726069165145,-0.185726069165145,0.465521062294337,0.834948881305404,-0.185726069165145,0.371064678886567,-0.185726069165145,-0.185726069165145,-0.185726069165145,-0.185726069165145,6
"dv.136841",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.136878",0,0,0,0,0,0,0,0,0,0,0,0,6
"dv.137190",-0.235294994861084,-0.235294994861084,1.26010764905985,-0.235294994861084,-0.235294994861084,-0.235294994861084,0.472791853892876,-0.235294994861084,-0.235294994861084,-0.235294994861084,-0.235294994861084,0.384755450797027,6
"dv.137420",0,0,0,0,0,0,0,0,0,0,0,0,6
